종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명
032830,삼성생명,65.00,14495000,14105000,1.51,SOL_CLIMATE
267260,HD현대일렉트릭,16.00,14640000,13968000,1.50,SOL_CLIMATE
086280,현대글로비스,63.00,14584500,13545000,1.45,SOL_CLIMATE
000270,기아,90.00,14022000,13536000,1.45,SOL_CLIMATE
000150,두산,12.00,14436000,13416000,1.44,SOL_CLIMATE
096770,SK이노베이션,117.00,13033800,13150800,1.41,SOL_CLIMATE
028050,삼성E&A,392.00,12975200,13092800,1.40,SOL_CLIMATE
006400,삼성SDI,31.00,12570500,12772000,1.37,SOL_CLIMATE
016360,삼성증권,131.00,12785600,12379500,1.33,SOL_CLIMATE
207940,삼성바이오로직스,8.00,12848000,12256000,1.31,SOL_CLIMATE
267250,HD현대,50.00,12875000,12200000,1.31,SOL_CLIMATE
030200,KT,200.00,12160000,12000000,1.29,SOL_CLIMATE
323410,카카오뱅크,493.00,12152450,11979900,1.28,SOL_CLIMATE
003230,삼양식품,10.00,11830000,11750000,1.26,SOL_CLIMATE
035420,NAVER,57.00,12112500,11742000,1.26,SOL_CLIMATE
138040,메리츠금융지주,102.00,11872800,11689200,1.25,SOL_CLIMATE
011200,HMM,603.00,11854980,11674080,1.25,SOL_CLIMATE
003670,포스코퓨처엠,53.00,11077000,11368500,1.22,SOL_CLIMATE
068270,셀트리온,55.00,11330000,11055000,1.19,SOL_CLIMATE
066570,LG전자,102.00,11424000,11036400,1.18,SOL_CLIMATE
005940,NH투자증권,356.00,12193000,11000400,1.18,SOL_CLIMATE
009830,한화솔루션,298.00,10623700,10832300,1.16,SOL_CLIMATE
090430,아모레퍼시픽,76.00,10974400,10655200,1.14,SOL_CLIMATE
329180,HD현대중공업,22.00,10967000,10538000,1.13,SOL_CLIMATE
036570,엔씨소프트,47.00,10810000,10363500,1.11,SOL_CLIMATE
373220,LG에너지솔루션,25.00,9862500,10125000,1.09,SOL_CLIMATE
