종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명,ETF_ID,시가총액 구성비중_정규화
000100,유한양행,90.00,9036000,8793000,0.009399999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.009411293552262714
047050,포스코인터내셔널,116.00,8642000,8700000,0.009300000000000001,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.009311173408089709
047040,대우건설,498.00,8595480,8660220,0.009300000000000001,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.009311173408089709
024110,기업은행,366.00,8619300,8033700,0.0086,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.008610332398878654
138930,BNK금융지주,442.00,8256560,8026720,0.0086,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.008610332398878654
032640,LG유플러스,495.00,7969500,7583400,0.008100000000000001,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.008109731678013618
010060,OCI홀딩스,38.00,6794400,7290300,0.0078000000000000005,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.007809371245494594
021240,코웨이,90.00,6615000,6561000,0.006999999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.0070084100921105315
051900,LG생활건강,25.00,6187500,6050000,0.006500000000000001,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.006507809371245495
175330,JB금융지주,191.00,5940100,5672700,0.0060999999999999995,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.006107328794553463
326030,SK바이오팜,58.00,5817400,5608600,0.006,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.006007208650380457
011790,SKC,55.00,5428500,5247000,0.005600000000000001,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.005606728073688427
375500,DL이앤씨,73.00,4803400,5051600,0.0054,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.005406487785342411
336260,두산퓨얼셀,139.00,5302850,4976200,0.0053,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.005306367641169403
192820,코스맥스,25.00,5125000,4785000,0.0051,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.005106127352823388
097950,CJ제일제당,22.00,4719000,4763000,0.0051,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.005106127352823388
139130,iM금융지주,272.00,4806240,4572320,0.0049,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.0049058870644773725
139480,이마트,45.00,4500000,4414500,0.004699999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.004705646776131357
