NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정,ESG점수,E점수,S점수,G점수
249,케이티스카이라이프,053210,B+,B,A,B+,2025,,,,,7,6,8,7
128,한국정보인증,053300,D,D,C,D,2025,,,,,2,2,4,2
365,이니텍,053350,C,C,C,C,2025,,,,,4,4,4,4
166,프로텍,053610,D,C,C,D,2025,,,,,2,4,4,2
108,한미글로벌,053690,B+,A,A+,B,2025,,,,,7,8,9,6
483,안랩,053800,A,B+,A+,B+,2025,,,,,8,7,9,7
836,농우바이오,054050,C,D,D,B,2025,,,,,4,2,2,6
216,키이스트,054780,D,D,D,D,2025,,,,,2,2,2,2
206,테이팩스,055490,B+,B+,A,B+,2025,,,,,7,7,8,7
526,신한지주,055550,A+,A+,A,A+,2025,,,,,9,9,8,9
475,에스에프에이,056190,C,C,C,C,2025,,,,,4,4,4,4
522,신화인터텍,056700,C,C,C,B,2025,,,,,4,4,4,6
30,현대홈쇼핑,057050,A,A,A+,A,2025,,,,,8,8,9,8
175,포스코스틸리온,058430,A,A,A+,B+,2025,,,,,8,8,9,7
713,리노공업,058470,D,D,D,C,2025,,,,,2,2,2,4
465,에스피지,058610,D,D,D,D,2025,,,,,2,2,2,2
569,세아홀딩스,058650,B+,A,A,B+,2025,,,,,7,8,8,7
832,다스코,058730,C,C,C,C,2025,,,,,4,4,4,4
997,KTcs,058850,B+,A,A,B+,2025,,,,,7,8,8,7
996,KTis,058860,A,A,A+,B+,2025,,,,,8,8,9,7
437,엠로,058970,C,B,B+,D,2025,,,,,4,6,7,2
880,국민은행,060000,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
350,인선이엔티,060150,D,C,C,D,2025,,,,,2,4,4,2
969,NHN KCP,060250,C,B,B,C,2025,,,,,4,6,6,4
224,큐렉소,060280,D,D,D,C,2025,,,,,2,2,2,4
979,LS마린솔루션,060370,C,C,D,C,2025,,,,,4,4,2,4
743,드림어스컴퍼니,060570,C,C,B+,C,2025,,,,,4,4,7,4
1029,HL홀딩스,060980,A,A,A+,B+,2025,,,,,8,8,9,7
300,종근당바이오,063160,A,A,A,B+,2025,,,,,8,8,8,7
929,SM Life Design,063440,D,D,D,D,2025,,,,,2,2,2,2
54,현대로템,064350,A+,A+,A+,A,2025,,,,,9,9,9,8
671,바이오니아,064550,C,D,C,C,2025,,,,,4,2,4,4
200,티씨케이,064760,B+,B+,A,B+,2025,,,,,7,7,8,7
927,SNT모티브,064960,D,C,C,D,2025,,,,,2,4,4,2
542,신성델타테크,065350,D,D,D,C,2025,,,,,2,2,2,4
985,LG전자,066570,A,A,A+,B+,2025,,,,,8,8,9,7
439,엘앤에프,066970,B+,B+,A,B,2025,,,,,7,7,8,6
